ZipCode,CombinedRate,State,,
6251,0.0635,CT,,
6254,0.0635,CT,,
6255,0.0635,CT,,
6256,0.0635,CT,,
6258,0.0635,CT,,
6259,0.0635,CT,,
6260,0.0635,CT,,
6262,0.0635,CT,,
6263,0.0635,CT,,
6264,0.0635,CT,,
6265,0.0635,CT,,
6266,0.0635,CT,,
6267,0.0635,CT,,
6268,0.0635,CT,,
6269,0.0635,CT,,
6277,0.0635,CT,,
6278,0.0635,CT,,
6279,0.0635,CT,,
6280,0.0635,CT,,
6281,0.0635,CT,,
6282,0.0635,CT,,
6320,0.0635,CT,,
6330,0.0635,CT,,
6331,0.0635,CT,,
6332,0.0635,CT,,
6333,0.0635,CT,,
6334,0.0635,CT,,
6335,0.0635,CT,,
6336,0.0635,CT,,
6338,0.0635,CT,,
6339,0.0635,CT,,
6340,0.0635,CT,,
6349,0.0635,CT,,
6350,0.0635,CT,,
6351,0.0635,CT,,
6353,0.0635,CT,,
6354,0.0635,CT,,
6355,0.0635,CT,,
6357,0.0635,CT,,
6359,0.0635,CT,,
6360,0.0635,CT,,
6365,0.0635,CT,,
6370,0.0635,CT,,
6371,0.0635,CT,,
6372,0.0635,CT,,
6373,0.0635,CT,,
6374,0.0635,CT,,
6375,0.0635,CT,,
6376,0.0635,CT,,
6377,0.0635,CT,,
6378,0.0635,CT,,
6379,0.0635,CT,,
6380,0.0635,CT,,
6382,0.0635,CT,,
6383,0.0635,CT,,
6384,0.0635,CT,,
6385,0.0635,CT,,
6387,0.0635,CT,,
6388,0.0635,CT,,
6389,0.0635,CT,,
6401,0.0635,CT,,
6403,0.0635,CT,,
6404,0.0635,CT,,
6405,0.0635,CT,,
6408,0.0635,CT,,
6409,0.0635,CT,,
6410,0.0635,CT,,
6411,0.0635,CT,,
6412,0.0635,CT,,
6413,0.0635,CT,,
6414,0.0635,CT,,
6415,0.0635,CT,,
6416,0.0635,CT,,
6417,0.0635,CT,,
6418,0.0635,CT,,
6419,0.0635,CT,,
6420,0.0635,CT,,
6422,0.0635,CT,,
6423,0.0635,CT,,
6424,0.0635,CT,,
6426,0.0635,CT,,
6437,0.0635,CT,,
6438,0.0635,CT,,
6439,0.0635,CT,,
6440,0.0635,CT,,
6441,0.0635,CT,,
6442,0.0635,CT,,
6443,0.0635,CT,,
6444,0.0635,CT,,
6447,0.0635,CT,,
6450,0.0635,CT,,
6451,0.0635,CT,,
6455,0.0635,CT,,
6456,0.0635,CT,,
6457,0.0635,CT,,
6459,0.0635,CT,,
6460,0.0635,CT,,
6461,0.0635,CT,,
6467,0.0635,CT,,
6468,0.0635,CT,,
6469,0.0635,CT,,
6470,0.0635,CT,,
6471,0.0635,CT,,
6472,0.0635,CT,,
6473,0.0635,CT,,
6474,0.0635,CT,,
6475,0.0635,CT,,
6477,0.0635,CT,,
6478,0.0635,CT,,
6479,0.0635,CT,,
6480,0.0635,CT,,
6481,0.0635,CT,,
6482,0.0635,CT,,
6483,0.0635,CT,,
6484,0.0635,CT,,
6487,0.0635,CT,,
6488,0.0635,CT,,
6489,0.0635,CT,,
6491,0.0635,CT,,
6492,0.0635,CT,,
6493,0.0635,CT,,
6494,0.0635,CT,,
6495,0.0635,CT,,
6498,0.0635,CT,,
6501,0.0635,CT,,
6502,0.0635,CT,,
6503,0.0635,CT,,
6504,0.0635,CT,,
6505,0.0635,CT,,
6506,0.0635,CT,,
6507,0.0635,CT,,
6508,0.0635,CT,,
6509,0.0635,CT,,
6510,0.0635,CT,,
6511,0.0635,CT,,
6512,0.0635,CT,,
6513,0.0635,CT,,
6514,0.0635,CT,,
6515,0.0635,CT,,
6516,0.0635,CT,,
6517,0.0635,CT,,
6518,0.0635,CT,,
6519,0.0635,CT,,
6520,0.0635,CT,,
6521,0.0635,CT,,
6524,0.0635,CT,,
6525,0.0635,CT,,
6530,0.0635,CT,,
6531,0.0635,CT,,
6532,0.0635,CT,,
6533,0.0635,CT,,
6534,0.0635,CT,,
6535,0.0635,CT,,
6536,0.0635,CT,,
6537,0.0635,CT,,
6538,0.0635,CT,,
6540,0.0635,CT,,
6601,0.0635,CT,,
6602,0.0635,CT,,
6604,0.0635,CT,,
6605,0.0635,CT,,
6606,0.0635,CT,,
